item,id,source,medium,year,year-binned,company,brand,alcohol_content,main_slogan,secondary_slogan,logo_location,logo_modality,logo_what_words,logo_what_image,multimodal_logo_type,metaphoric_metonymy_motivation,overall_color,comments,hanja,roman,hangul_loan_words,text_count,writing_color,font_style,font_weight,main_slogan_ending,slogan_end_noun,slogan_end_verb,slogan_end_english,slogan_end_nonverbal,secondary_slogan_ending,noun_token,verb_token,english_token,nonverbal_speech_sound_token,additional_comments,background_color,background_type,plants_trees_background,restaurant_background,food_background,additional_comments_background,bottle_presence,bottle_position,bottle_color,bottle_opacity,bottle_shape,bottle_size,neck_height_by_width,body_height_by_width,additional_comments_bottle,model_gender,model_clothing_color,female_bare_shoulders,female_bare_legs,female_bare_cleavage,additional_comments_model,model_bottle_holding_hand,if_holding_bottle_which_hand,holding_glass,hand_on_hips,hourglass_body_shape,body_or_facial_appearance,full_body,camera_shot,additional_comments_body,eye_contact,smile,head_tilt,wink,puckered_lips,hand_on_face,gesture_comments,glass_in_advert,shape_of_glass,glass_comments,vertical_RL_writing,flavoured_soju,flavour,ideophone,ideophone_word_count,sound_object,sound_object_word_count,production_area,overall_comments
1_1968_30_GeumGok_Geumgok_001,vocal_utterance_word_number,https://newslibrary.naver.com/viewer/index.nhn?articleId=1968120300099206015&editNo=1&printCount=1&publishDate=1968-12-03&officeId=00009&pageNo=6&printNo=839&publishType=00020,Newspaper,1968,1960s,GeumGok 금곡,Geumgok 금곡,30,"날로 品質이 向上되는 금곡소주 EN: Quality that improves everyday, Geumgok soju","한번마시고 다시 찾는 금곡소주로! EN: [Go with] Geumgok soju, one taste will have you coming back for more",Top left corner,Words and image,금곡,Triangle,Merged,,Black and white ,Brand/company name inside logo is warped,"Yes, main slogan,secondary slogan, company, brand and contact","Yes, brand and contact","Yes, secondary slogan",165,White and black,Print,Bold,Noun,소주,NA,NA,NA,Noun,소주,NA,NA,NA,,White,Plain,No,No,No,Coins,No,NA,NA,NA,NA,NA,NA,NA,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Andong (North Gyeongsang Province),
2_1967_30_DaeGwang_Diamond_001,2,https://newslibrary.naver.com/viewer/index.nhn?articleId=1967081600209202027&editNo=2&printCount=1&publishDate=1967-08-16&officeId=00020&pageNo=2&printNo=14102&publishType=00020,Newspaper,1967,1960s,DaeGwang 대광,Diamond 다이야몬드,30,'67 8.15부터 서울市販 開始! EN: To be sold in Seoul from August 15th 1967!,600万원 景品附大壳出 EN: 600 million won worth of prizes to be won,Bottom right corner,Words and image,다이야몬드 소주,Diamon with spokes,Separate,,Black and white ,august 15 is National Liberation Day of Korea. Logo is on drawing of bottle,"Yes, main slogan,secondary slogan, company and contact","Yes, brand and contact","Yes, brand and event",454,White and black,Print,Light,Noun,開始,NA,NA,NA,Noun,大壳出,NA,NA,NA,,White,Plain,No,No,No,Diamond Ring,Superimposed,Centre,Clear,Transparent,Short neck,Lifesize,152x217,231x476,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Busan Metropolitan City,
3_1963_35_DaeJeon_Chungseong_001,3,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963070300239107035&editNo=1&printCount=1&publishDate=1963-07-03&officeId=00023&pageNo=7&printNo=12974&publishType=00010,Newspaper,1963,1960s,DaeJeon 대전,Chungseong 충성,35,"芳香無比 醇良?清酒 EN: An unbeatable scent, a well made? cheongju",歷史와 傳統을 자랑하는 純殼燒酒와 純殼清酒 EN: Pure grain soju and cheongju that prides itself on its history and tradition,Centre,Words,忠誠,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand ",No,No,45,Black,Print,Bold,Noun,清酒,NA,NA,NA,Noun,清酒,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,White,Plain,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Daejeon Metropolitan City,
4_1969_25_MaSan_Muhak_001,4,https://newslibrary.naver.com/viewer/index.nhn?articleId=1969041200099203005&editNo=1&printCount=1&publishDate=1969-04-12&officeId=00009&pageNo=3&printNo=947&publishType=00020,Newspaper,1969,1960s,MaSan마산,Muhak 무학,30,"海外로 輸出하는 馬山名產 舞鶴소주 EN: A Masan specialty product, Muhak soju will be distributed overseas","마셔보면 다시 찾는 무학소주! EN: Muhak soju, one taste will have you coming back for more",Centre ,Words and image,舞鶴釀造場,Cranes,Merged,,Black and white ,,"Yes, main slogan,company, brand and contact","Yes, contact",No,64,White and black,Print,Bold,Noun,소주,NA,NA,NA,Noun,소주,NA,NA,NA,,Black and white,Map of world and cranes flying around a money pouch,"Yes, tree",No,No,"Pine tree, crane, lucky purse and world map",Yes,Centre,Clear,NA,Short neck,Lifesize,37x50,61x117,The bottle is a 2D drawing and not a photo of a real bottle.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Masan (South Gyeongsang Province),
5_1964_35_MiSeong_Miseong_001,5,https://newslibrary.naver.com/viewer/index.nhn?articleId=1964101500239107020&editNo=1&printCount=1&publishDate=1964-10-15&officeId=00023&pageNo=7&printNo=13374&publishType=00010,Newspaper,1964,1960s,MiSeong 미성,MiSeong 미성,35,"소주라면 미성 소주 EN: When it comes to soju, it should be Miseong soju",NA  ,No logo,NA,NA,NA,NA,,Black and white ,,"Yes, brand","Yes, contact",No,13,White and black,Print,Bold,Noun,소주,NA,NA,NA,NA,NA,NA,NA,NA,,White,Plain,No,No,No,,Yes,Centre,Clear,NA,Long neck,Lifesize,16x45,32x72,The bottle is a 2D drawing and not a photo of a real bottle.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Pocheon (Gyeonggi Province),
6_1963_30_BaekYang_Baekyang_001,6,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963120700239105023&editNo=1&printCount=1&publishDate=1963-12-07&officeId=00023&pageNo=5&printNo=13109&publishType=00010,Newspaper,1963,1960s,BaekYang 백양,BaekYang 백양,30,"燒酎界의 No. 1 白羊燒酎 EN: The No. 1 soju, Baekyang soju",한잔에 맛을 알면 잊을수없는 白羊燒酎를 여러분께 권해드립니다! EN: [We] recommend the unforgettable taste of Baekyang soju,No logo,NA,NA,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company, brand and contact","Yes, main slogan and contact",No,252,Black,Print,Bold,Noun,燒酎,NA,NA,NA,Verb,NA,~니다,NA,NA,"Font varies a lot in style, size, and weight",White,Plain,No,No,No,,Yes,Centre right,Clear,Transparent,Short neck,Lifesize,62x114,108x207,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Kwangju Metropolitan City,
7_1963_35_DaeHan_Baekhwa_001,7,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963092900239102026&editNo=1&printCount=1&publishDate=1963-09-29&officeId=00023&pageNo=2&printNo=13050&publishType=00010,Newspaper,1963,1960s,DaeHan 대한,Baekhwa 백화,35,"가을의 膳物! 唯一한 貴族的인 銘酒 壽福票 白花로 EN: The gift for autumn! Baekhwa Subok, the only classy fine liquor","特選 吟釀清酒 壽福票 EN: A specially fermented cheongju, Subok",Centre bottom,Words and image,白花,White flower,Merged,,Black and white ,Logo is on bottle,"Yes, main slogan,secondary slogan, company and brand",No,No,91,Black,Calligraphy,Bold,Noun,白花,NA,NA,NA,Noun,壽福票,NA,NA,NA,,White,Plain,No,No,No,,Yes,Centre left,Brown,NA,Long neck and long narrow body,Lifesize,43x83,104x285,The bottle is a 2D drawing and not a photo of a real bottle.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
8_1964_35_DaeHan_Baekhwa_001,8,https://newslibrary.naver.com/viewer/index.nhn?articleId=1964091700239103007&editNo=1&printCount=1&publishDate=1964-09-17&officeId=00023&pageNo=3&printNo=13350&publishType=00010,Newspaper,1964,1960s,DaeHan 대한,Baekhwa 백화,35,秋夕膳物는 白花로! EN: Gift Baekwa this autumn!,드디어 海外市場에 進出하고 있는 壽福票 白花! EN: Baekhwa Subok is finally being exported overseas!,Top right corner,Words and image,白花  天下의銘酒,White flower,Merged,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand",No,No,63,Black,Calligraphy and print,Bold,Noun,白花,NA,NA,NA,Noun,白花,NA,NA,NA,Font looks like handwriting due to inconsistent size of characters. Brand/company name is in bold calligraphic font and stands out,Black and white,Ring of tiny figures around large bottles,No,No,No,,Yes,Cetnre left,Brown,NA,NA,Large,10x33,25x71,There are six bottles. The bottles are 2D drawings and not photos of real bottles.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
9_1966_30_DaeHan_Baekhwa_001,9,https://newslibrary.naver.com/viewer/index.nhn?articleId=1966092600329205013&editNo=2&printCount=1&publishDate=1966-09-26&officeId=00032&pageNo=5&printNo=6446&publishType=00020,Newspaper,1966,1960s,DaeHan 대한,Baekhwa 백화,30,壽福票 白花 EN: Baekhwa Subok,"秋夕膳物 壽福票 白花 EN: The gift for Chuseok, Baekhwa Subok",Top centre,Words,白花,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand",No,No,115,Black,Print and calligraphy,Bold,Noun,白花,NA,NA,NA,Noun,白花,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out,White,Plain,No,No,No,,Yes,Centre left,Brown,Transparent,Long neck and long narrow body,Lifesize,37x91,114x306,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
10_1966_30_DaeHan_Baekhwa_002,10,https://newslibrary.naver.com/viewer/index.nhn?articleId=1966080400239102032&editNo=1&printCount=1&publishDate=1966-08-04&officeId=00023&pageNo=2&printNo=13932&publishType=00010,Newspaper,1966,1960s,DaeHan 대한,Baekhwa 백화,30,壽福票 白花 EN: Baekhwa Subok,"夏節의 真味 壽福票 白花 EN: The real taste of the summer, Baekhwa Subok",Centre,Words and image,白花,White flower,Merged,The brand is marketed as being synonymous with a 'real/genuine' taste,Black and white ,The ad text is inside the flower of the logo,"Yes, main slogan,secondary slogan, company and brand",No,No,106,Black,Print and calligraphy,Light,Noun,白花,NA,NA,NA,Noun,白花,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,Black and white,White flower logo,No,No,"Yes, else",Mushroom,Superimposed,Centre left,Brown,Transparent,Long neck and long narrow body,Lifesize,66x144,173x464,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
